ID,Price,Area,#bedroom,#bathroom,Air_conditioning,Garage_capacity,Pool,Year,Quality,Style,Lot_area,Adj_to_highway,AGE
352,185000,1701,3,2,YES,1,NO,1982,MEDIUM,2,21938,NO,16
353,288000,2250,3,2,YES,2,NO,1949,MEDIUM,4,23684,NO,49
354,197500,2502,4,2,YES,2,NO,1964,MEDIUM,6,23749,NO,34
355,179975,1762,4,3,YES,2,NO,1959,MEDIUM,1,15742,NO,39
356,195000,2016,4,3,YES,2,NO,1963,MEDIUM,2,18102,NO,35
357,228400,1904,3,3,YES,2,YES,1976,MEDIUM,2,14945,NO,22
358,194750,1652,5,2,YES,2,NO,1960,MEDIUM,1,24644,NO,38
359,195000,2042,4,3,NO,2,NO,1963,MEDIUM,2,21849,NO,35
360,210000,2019,4,3,YES,3,NO,1960,MEDIUM,2,14837,NO,38
361,239550,2791,5,3,YES,3,NO,1946,MEDIUM,4,22863,NO,52
362,242000,2514,4,3,YES,1,NO,1953,MEDIUM,5,17535,NO,45
363,185000,1746,3,2,YES,2,NO,1984,MEDIUM,3,12386,NO,14
364,175000,1930,3,2,YES,2,NO,1956,MEDIUM,2,15923,NO,42
365,165000,1552,3,1,YES,3,NO,1959,MEDIUM,3,27068,NO,39
366,185000,1566,4,2,YES,2,NO,1993,MEDIUM,2,13504,NO,5
367,173194,1669,3,2,YES,2,NO,1964,MEDIUM,2,24643,NO,34
368,205150,1814,3,3,YES,2,NO,1978,MEDIUM,2,18714,NO,20
369,214200,1794,3,3,YES,3,NO,1976,MEDIUM,2,24308,NO,22
370,182500,1691,3,2,YES,2,YES,1968,MEDIUM,2,21961,NO,30
371,205000,1834,4,3,YES,2,NO,1959,MEDIUM,1,30726,NO,39
372,208000,1984,5,3,YES,2,NO,1961,MEDIUM,1,22047,NO,37
373,225000,1966,4,3,YES,2,NO,1962,MEDIUM,1,24871,NO,36
374,170000,1669,3,2,YES,2,NO,1967,MEDIUM,2,21253,NO,31
375,216000,2132,4,3,YES,2,NO,1976,MEDIUM,1,41332,NO,22
376,180000,2007,4,3,YES,2,NO,1959,MEDIUM,3,15992,NO,39
377,169200,1964,4,2,YES,2,NO,1964,MEDIUM,7,18162,NO,34
378,213000,2325,4,3,YES,3,NO,1973,MEDIUM,3,16699,NO,25
379,210000,2196,4,3,YES,2,NO,1965,MEDIUM,7,29329,NO,33
380,185000,2061,3,2,YES,2,NO,1956,MEDIUM,2,25379,NO,42
381,179900,1828,3,2,YES,2,NO,1956,MEDIUM,3,37150,NO,42
382,196000,1956,4,3,YES,2,NO,1968,MEDIUM,1,20486,NO,30
383,219900,1852,6,3,YES,2,NO,1968,MEDIUM,2,20800,NO,30
384,159900,1795,1,2,YES,2,NO,1980,MEDIUM,11,26467,NO,18
385,170000,1580,2,1,NO,1,NO,1950,LOW,5,10799,NO,48
386,169900,1708,3,1,NO,1,NO,1950,LOW,1,11413,NO,48
387,189500,1700,4,2,NO,2,NO,1953,LOW,1,14023,NO,45
388,195000,1742,1,1,YES,2,NO,1961,LOW,1,18250,NO,37
389,215000,1890,4,2,YES,2,NO,1961,LOW,1,22110,NO,37
390,171000,1512,2,1,NO,1,NO,1956,LOW,1,14774,NO,42
391,179900,1840,3,1,NO,2,NO,1953,LOW,1,40832,NO,45
392,120000,1060,2,1,NO,2,NO,1947,LOW,1,15001,NO,51
393,175000,1540,3,2,NO,2,NO,1957,LOW,1,45458,NO,41
394,232900,1550,4,2,YES,2,YES,1962,LOW,2,14998,NO,36
395,229900,2787,4,2,YES,1,NO,1922,LOW,5,39558,NO,76
396,174900,1528,2,2,YES,2,NO,1982,LOW,1,25193,NO,16
397,168900,1928,2,2,NO,2,NO,1941,LOW,5,26393,NO,57
398,229500,2329,3,2,YES,2,NO,1960,LOW,7,28179,NO,38
399,236000,1940,4,3,YES,2,NO,1959,LOW,1,15073,NO,39
400,205500,2114,5,2,YES,2,NO,1966,LOW,7,14526,NO,32
401,212000,1799,3,2,YES,2,NO,1962,LOW,2,16210,NO,36
402,205000,1864,3,2,YES,2,NO,1940,LOW,1,25628,NO,58
403,193000,1581,3,2,YES,2,NO,1956,LOW,1,15064,NO,42
404,180000,1652,3,2,YES,2,NO,1959,LOW,3,21875,NO,39
405,184000,1592,4,2,NO,2,NO,1977,LOW,1,25943,NO,21
406,144900,1520,3,1,NO,1,NO,1953,LOW,4,36359,NO,45
407,255000,1792,2,2,YES,2,NO,1955,LOW,1,31257,NO,43
408,137000,1464,2,1,NO,1,NO,1957,LOW,1,14999,NO,41
409,178000,1702,3,2,NO,2,NO,1961,LOW,1,21898,NO,37
410,296000,2180,3,2,YES,2,NO,1952,LOW,1,29617,NO,46
411,186500,1486,2,2,YES,2,NO,1958,LOW,1,18479,NO,40
412,170000,1364,2,1,NO,2,NO,1942,LOW,1,26369,NO,56
413,219000,1540,4,2,YES,2,NO,1977,LOW,2,30691,NO,21
414,188000,1608,4,2,YES,2,NO,1969,LOW,2,19380,NO,29
415,195250,1668,3,1,YES,2,NO,1956,LOW,3,17060,NO,42
416,175000,1944,3,2,YES,2,NO,1951,LOW,1,43562,NO,47
417,215000,1883,4,2,YES,2,YES,1956,LOW,1,19932,NO,42
418,197500,2215,4,1,NO,2,NO,1948,LOW,6,25540,NO,50
419,249900,1916,2,2,YES,2,NO,1954,LOW,1,20576,NO,44
420,180000,1508,2,2,YES,2,NO,1959,LOW,1,32469,NO,39
421,174900,1809,3,1,YES,2,NO,1958,LOW,2,16782,NO,40
422,189900,1958,4,3,NO,2,NO,1935,LOW,5,22788,NO,63
423,154000,1592,2,1,YES,2,NO,1951,LOW,1,10332,NO,47
424,150000,1636,2,1,YES,2,NO,1950,LOW,1,10000,NO,48
425,189900,1800,3,2,NO,2,NO,1964,LOW,2,13566,NO,34
426,157000,1600,3,1,NO,2,NO,1950,LOW,5,10807,NO,48
427,182000,1550,3,1,YES,2,NO,1966,LOW,1,15100,NO,32
428,187650,1578,3,1,YES,2,NO,1958,LOW,1,14631,NO,40
429,175000,1644,3,1,YES,2,NO,1956,LOW,1,12999,NO,42
430,189900,1556,3,2,YES,1,NO,1959,LOW,3,19840,NO,39
431,175000,1672,3,1,YES,2,NO,1949,LOW,1,22617,NO,49
432,159900,1650,2,2,YES,1,NO,1957,LOW,1,14997,NO,41
433,184900,1676,3,2,NO,2,NO,1956,LOW,1,16156,NO,42
434,174900,1960,2,2,NO,2,NO,1947,LOW,1,16953,NO,51
435,143000,1649,3,1,YES,1,NO,1951,LOW,5,20096,NO,47
436,164900,1728,3,1,YES,1,NO,1950,LOW,4,10999,NO,48
437,173500,1586,3,2,YES,1,NO,1958,LOW,1,15862,NO,40
438,161800,1592,2,1,NO,1,NO,1951,LOW,1,18686,NO,47
439,148000,1514,2,2,YES,1,NO,1964,LOW,1,16209,NO,34
440,177000,1952,4,2,YES,2,NO,1963,LOW,1,24377,NO,35
441,149900,1550,3,1,YES,2,NO,1956,LOW,1,14311,NO,42
442,170000,1544,2,2,NO,1,NO,1957,LOW,1,14942,NO,41
443,142000,1566,3,1,NO,1,NO,1959,LOW,1,15228,NO,39
444,186900,1650,3,2,YES,2,NO,1961,LOW,1,22000,NO,37
445,152900,1392,2,2,NO,2,NO,1951,LOW,1,29199,NO,47
446,350000,2981,5,4,YES,2,NO,1950,LOW,6,49756,NO,48
447,130000,1412,2,1,NO,1,NO,1940,LOW,1,16752,NO,58
448,167900,2180,4,2,NO,2,NO,1948,LOW,3,15001,NO,50
449,184900,1704,2,2,YES,2,NO,1954,LOW,1,16759,NO,44
450,178000,1600,3,2,YES,2,NO,1957,LOW,3,15090,NO,41
451,111000,1276,3,2,NO,1,NO,1951,LOW,1,11554,NO,47
452,207000,1666,4,2,NO,1,NO,1954,LOW,1,39523,NO,44
453,190000,1760,3,2,YES,2,NO,1974,LOW,2,20193,NO,24
454,230000,1836,3,2,NO,2,NO,1946,LOW,1,46339,NO,52
455,165000,1636,3,1,NO,2,NO,1953,LOW,1,20125,NO,45
456,210000,1748,3,2,YES,2,NO,1957,LOW,1,14512,NO,41
457,226000,2556,4,2,NO,2,NO,1923,LOW,6,36276,NO,75
458,149900,1511,4,1,YES,1,NO,1954,LOW,1,14821,NO,44
459,155000,1524,3,2,YES,2,NO,1958,LOW,1,21875,NO,40
460,219900,1821,4,2,YES,2,NO,1956,LOW,1,16696,NO,42
461,132000,1596,1,1,NO,0,NO,1940,LOW,1,28357,NO,58
462,195000,2392,4,2,NO,2,NO,1960,LOW,1,30265,NO,38
463,155900,1748,2,1,YES,2,NO,1956,LOW,1,16231,NO,42
464,119900,1384,2,1,NO,0,NO,1949,LOW,1,30002,NO,49
465,175000,1628,3,1,YES,2,YES,1957,LOW,1,17069,NO,41
466,304000,1911,4,2,YES,2,NO,1953,LOW,1,86248,NO,45
467,190000,1624,4,3,NO,1,NO,1959,LOW,3,15002,NO,39
468,229100,1956,3,2,YES,2,YES,1984,LOW,6,14710,NO,14
469,187500,2012,4,2,NO,2,NO,1953,LOW,5,14925,NO,45
470,173000,1590,2,2,YES,2,NO,1956,LOW,1,22336,NO,42
471,170000,1687,2,1,YES,1,NO,1941,LOW,4,20925,NO,57
472,179000,1816,4,1,YES,2,NO,1956,LOW,3,16508,NO,42
473,162500,1622,3,1,YES,1,NO,1956,LOW,3,16120,NO,42
474,172000,1604,4,2,YES,2,NO,1954,LOW,1,14964,NO,44
475,153200,1592,4,2,NO,1,NO,1956,LOW,1,16396,NO,42
476,220000,1922,3,2,YES,2,NO,1952,LOW,1,33579,NO,46
477,174000,1892,3,1,YES,1,NO,1955,LOW,3,14712,NO,43
478,200000,1628,3,1,YES,2,NO,1959,LOW,1,15412,NO,39
479,161000,1644,2,2,YES,2,NO,1956,LOW,1,17030,NO,42
480,135000,1450,3,1,YES,2,NO,1955,LOW,1,15868,NO,43
481,190000,1592,3,2,YES,2,NO,1959,LOW,1,22748,NO,39
482,153800,1654,2,1,NO,2,NO,1962,LOW,1,25874,NO,36
483,144900,1388,2,1,YES,2,NO,1950,LOW,1,10568,NO,48
484,165000,1670,3,2,NO,2,NO,1953,LOW,1,18525,NO,45
485,186000,1953,3,2,YES,1,NO,1956,LOW,1,17129,NO,42
486,167000,2008,3,1,YES,2,NO,1963,LOW,1,21860,NO,35
487,189600,1650,3,2,YES,2,NO,1960,LOW,1,34724,NO,38
488,170000,1578,3,1,YES,2,NO,1975,LOW,1,22485,NO,23
489,189500,1618,3,2,YES,2,NO,1962,LOW,1,27539,NO,36
490,153500,1642,3,1,NO,2,NO,1959,LOW,1,14901,NO,39
491,159900,2008,1,2,YES,2,NO,1941,LOW,1,31657,NO,57
492,158000,1604,3,2,YES,1,NO,1960,LOW,1,23534,NO,38
493,175000,2035,4,2,YES,3,NO,1962,LOW,7,20131,NO,36
494,147000,1534,3,2,NO,1,NO,1955,LOW,3,15361,NO,43
495,155000,1624,2,2,YES,2,NO,1955,LOW,1,16721,NO,43
496,150000,1700,4,2,YES,1,NO,1954,LOW,1,15391,NO,44
497,165000,1630,3,2,YES,2,NO,1978,LOW,2,24963,NO,20
498,147000,1526,3,2,YES,1,NO,1957,LOW,1,15007,NO,41
499,146250,1672,3,1,YES,2,NO,1949,LOW,1,22617,NO,49
500,177500,1588,4,2,YES,2,NO,1980,LOW,2,21925,NO,18
501,153650,1752,4,2,YES,2,NO,1950,LOW,6,9126,NO,48
502,199500,1674,4,2,NO,2,NO,1947,LOW,1,33237,NO,51
503,186000,1980,3,1,NO,1,NO,1927,LOW,6,47679,NO,71
504,139900,1396,1,1,NO,2,NO,1950,LOW,1,25879,NO,48
505,160000,1178,1,1,NO,2,NO,1959,LOW,1,9941,NO,39
506,125000,1263,2,2,NO,0,NO,1955,LOW,1,12357,NO,43
507,359900,2377,5,2,YES,2,NO,1937,LOW,6,51005,NO,61
508,184500,1304,3,1,YES,2,NO,1951,LOW,1,21305,NO,47
509,155000,1340,3,1,NO,0,NO,1952,LOW,1,5666,NO,46
510,150000,1559,2,1,NO,2,NO,1952,LOW,1,23999,NO,46
511,146000,1412,1,2,YES,0,NO,1920,LOW,1,4560,NO,78
512,129000,1198,2,2,YES,2,NO,1925,LOW,1,20918,NO,73
513,145000,1424,2,1,YES,2,NO,1947,LOW,1,16414,NO,51
514,200000,1370,4,1,NO,1,NO,1925,LOW,4,8000,NO,73
515,149900,1584,3,2,YES,2,NO,1957,LOW,1,13514,NO,41
516,132000,1567,2,1,YES,1,NO,1934,LOW,4,12249,NO,64
517,136900,1409,2,1,NO,1,NO,1951,LOW,1,28421,NO,47
518,137000,1655,2,1,NO,1,NO,1935,LOW,1,54651,NO,63
519,185000,1944,3,2,YES,2,NO,1939,LOW,6,17999,NO,59
520,133500,1922,3,1,NO,2,NO,1950,LOW,1,14805,NO,48
521,124000,1480,3,2,YES,2,NO,1953,LOW,1,28351,NO,45
522,95500,1184,2,1,NO,1,NO,1951,LOW,1,14786,NO,47
